,show_id,type,title,director,cast,country,date_added_x,release_year,rating,duration,listed_in,description,genres,popularity,vote_average,vote_count
0,s1218,Movie,Cargo,Arati Kadav,"Vikrant Massey, Shweta Tripathi, Nandu Madhav, Konkona Sen Sharma, Biswapati Sarkar, Ritwik Bhaumik, Prabal Panjabi, Hansal Mehta",India,9-Sep-20,2020,TV-14,113 min,"Comedies, Dramas, Independent Movies","Aboard a spaceship where souls of the deceased are readied for reincarnation, a lone crew member__ rigid existence is disrupted by a spry new assistant.","[{""id"": 53, ""name"": ""Thriller""}, {""id"": 9648, ""name"": ""Mystery""}, {""id"": 878, ""name"": ""Science Fiction""}]",10.142218,5.9,140
2,s1721,TV Show,Detention,"Su I-Hsuan, Chuang Shiang-an, Liu Yi","Li Lingwei, Han Ning, Huang Guanzhi, Jack Yao, Hsia Teng-hung, David Chao, Luo Guanxu, Wu Kunda, Serena Fang, Carol Cheng, Chang Han",Taiwan,5-Dec-20,2020,TV-MA,1 Season,"International TV Shows, TV Dramas, TV Horror",A tormented student uncovers unsettling secrets at her remote high school as betrayal and a paranormal encounter upend her life.,"[{""id"": 27, ""name"": ""Horror""}, {""id"": 35, ""name"": ""Comedy""}, {""id"": 878, ""name"": ""Science Fiction""}]",10.424596000000001,5.7,129
5,s4994,Movie,Psycho,Mysskin,"Udhayanidhi Stalin, Aditi Rao Hydari, Nithya Menon, Ram, Rajkumar Pitchumani",India,1-May-20,2020,TV-MA,143 min,"Horror Movies, International Movies, Thrillers","As a visually impaired man attempts to rescue his love interest from a serial killer, the dark story behind the murderer__ disturbing psyche emerges.","[{""id"": 18, ""name"": ""Drama""}, {""id"": 27, ""name"": ""Horror""}, {""id"": 53, ""name"": ""Thriller""}]",93.06786600000001,8.2,2320
6,s5122,Movie,Rebecca,Ben Wheatley,"Lily James, Armie Hammer, Kristin Scott Thomas, Keeley Hawes, Ann Dowd, Sam Riley, Tom Goodman-Hill, Mark Lewis Jones, John Hollingworth, Bill Paterson",United Kingdom,21-Oct-20,2020,PG-13,123 min,"Dramas, Romantic Movies, Thrillers","A young newlywed moves to her husband's imposing estate, where she must contend with his sinister housekeeper and the haunting shadow of his late wife.","[{""id"": 18, ""name"": ""Drama""}, {""id"": 9648, ""name"": ""Mystery""}]",18.426825,7.7,336
8,s6196,Movie,The Call,Lee Chung-hyun,"Park Shin-hye, Jun Jong-seo, Kim Sung-ryoung, EL, Park Ho-san, Oh Jung-se, Lee Dong-hwi, Um Chae-young",South Korea,27-Nov-20,2020,TV-MA,112 min,"International Movies, Thrillers","Connected by phone in the same home but 20 years apart, a serial killer puts another woman__ past _ and life _ on the line to change her own fate.","[{""id"": 80, ""name"": ""Crime""}, {""id"": 53, ""name"": ""Thriller""}]",34.532418,6.6,1257
14,s7592,Movie,Whipped,Chandra Liow,"Andovi da Lopez, Jovial da Lopez, Chandra Liow, Tommy Limmm, Susan Sameh, Widika Sidmore, Kezia Aletheia, Karina Salim",Indonesia,18-Sep-20,2020,TV-14,98 min,"Comedies, International Movies, Romantic Movies",Four buddies attend a class taught by a love guru who leads them to question their romantic attachments _ until her hidden agenda comes to light.,"[{""id"": 35, ""name"": ""Comedy""}, {""id"": 10749, ""name"": ""Romance""}]",2.144354,3.1,11
15,s324,Movie,After,Jenny Gage,"Josephine Langford, Hero Fiennes Tiffin, Selma Blair, Inanna Sarkis, Shane Paul McGhie, Pia Mia, Khadijha Red Thunder, Dylan Arnold, Samuel Larsen, Jennifer Beals, Peter Gallagher",United States,9-Oct-19,2019,PG-13,106 min,"Dramas, Romantic Movies","Wholesome college freshman Tessa Young thinks she knows what she wants out of life, until she crosses paths with complicated bad boy Hardin Scott.","[{""id"": 9648, ""name"": ""Mystery""}, {""id"": 53, ""name"": ""Thriller""}]",4.596157,5.6,63
16,s639,Movie,Awake,"Aleksandr Chernyaev, Fedor Lyass","Jonathan Rhys Meyers, Francesca Eastwood, Malik Yoba, William Forsythe, James Austin Kerr, Jeremy Parr",United States,24-Nov-19,2019,TV-MA,92 min,Thrillers,"After an accident leaves him with no recollection of who he is, a man becomes a prime suspect in the search for a serial killer targeting young women.","[{""id"": 53, ""name"": ""Thriller""}, {""id"": 80, ""name"": ""Crime""}, {""id"": 9648, ""name"": ""Mystery""}]",18.172735999999997,6.3,395
17,s1113,Movie,Brother,Julien Abraham,"MHD, Darren Muselet, A茂ssa Ma茂ga, Jalil Lespert, Youssouf Gueye, Hiam Abbass, Lisette Malidor",France,22-Nov-19,2019,TV-MA,97 min,"Dramas, Independent Movies, International Movies","Thrust from a violent home into a brutal custody center, a teenager learns to navigate a tough new reality and forge unlikely alliances to survive.","[{""id"": 80, ""name"": ""Crime""}, {""id"": 18, ""name"": ""Drama""}, {""id"": 53, ""name"": ""Thriller""}]",5.327714,6.8,107
18,s1807,Movie,Domino,Brian De Palma,"Nikolaj Coster-Waldau, Carice van Houten, Eriq Ebouaney, Guy Pearce, Mohammed Azaay, S酶ren Malling, Paprika Steen, Helena Kaittani","Denmark, France, Belgium, Italy, Netherlands, United States, United Kingdom",28-Sep-19,2019,R,89 min,"International Movies, Thrillers","A Copenhagen police officer hunts for the man who attacked his partner, only to stumble into a high-stakes game of espionage.","[{""id"": 28, ""name"": ""Action""}, {""id"": 80, ""name"": ""Crime""}]",18.394571,6.0,444
